V(V),I(microA),,
0.55499,9.9,1.00E-05,0.1
0.5561,9.2,1.00E-05,0.1
0.55723,8.8,1.00E-05,0.1
0.55865,7.8,1.00E-05,0.1
0.55963,7.1,1.00E-05,0.1
0.56117,6.2,1.00E-05,0.1
0.56284,5.1,1.00E-05,0.1
0.56414,4.6,1.00E-05,0.1
0.56576,3.6,1.00E-05,0.1
0.5675,2.6,1.00E-05,0.1
0.56863,1.9,1.00E-05,0.1
0.5694,1.2,1.00E-05,0.1
0.57089,0.6,1.00E-05,0.1
0.57095,0.6,1.00E-05,0.1
