V,I,,
1.15305,9.5,1E-05,0.1
1.15396,8.9,1E-05,0.1
1.156,7.5,1E-05,0.1
1.158,6.1,1E-05,0.1
1.15869,5.5,1E-05,0.1
1.16007,4.4,1E-05,0.1
1.16082,3.9,1E-05,0.1
1.16152,3.5,1E-05,0.1
1.16214,2.9,1E-05,0.1
1.1623,2.4,1E-05,0.1
1.1638,1.8,1E-05,0.1
1.16378,1.7,1E-05,0.1
1.16509,0.8,1E-05,0.1
1.16712,0.6,1E-05,0.1
1.16571,0.3,1E-05,0.1
