V(V),I real,,
1.2556,0.79,0.0001,0.05
1.2558,0.68,0.0001,0.05
1.2549,0.8,0.0001,0.05
1.2574,0.3,0.0001,0.05
1.2575,0.2,0.0001,0.05
1.2568,0.28,0.0001,0.05
