V,I,,
1.2909,2.975,0.0001,0.05
1.2911,2.9,0.0001,0.05
1.2914,2.65,0.0001,0.05
1.2924,2.3,0.0001,0.05
1.2927,1.95,0.0001,0.05
1.2935,1.7,0.0001,0.05
1.2945,1.15,0.0001,0.05
1.295,0.9,0.0001,0.05
1.2953,0.65,0.0001,0.05
1.296,0.25,0.0001,0.05
