V(V),I(microA)
0.55499,9.9
0.5561,9.2
0.55723,8.8
0.55865,7.8
0.55963,7.1
0.56117,6.2
0.56284,5.1
0.56414,4.6
0.56576,3.6
0.5675,2.6
0.56863,1.9
0.5694,1.2
0.57089,0.6
0.57095,0.6
0.56662,2.9
0.56713,2.6
0.56749,2.15
0.56813,2.1
0.5693,1.4
0.5698,1.1
0.56975,1.05
0.57027,0.55
0.57096,0.15
