V(V),I(microA),,
0.32324,0.99,1E-05,0.01
0.32364,0.94,1E-05,0.01
0.3243,0.86,1E-05,0.01
0.32473,0.81,1E-05,0.01
0.32552,0.72,1E-05,0.01
0.32649,0.59,1E-05,0.01
0.32718,0.51,1E-05,0.01
0.32782,0.44,1E-05,0.01
0.32842,0.37,1E-05,0.01
0.32882,0.32,1E-05,0.01
0.32944,0.25,1E-05,0.01
0.32977,0.21,1E-05,0.01
0.33027,0.15,1E-05,0.01
0.33064,0.11,1E-05,0.01
0.33097,0.065,1E-05,0.01
0.3312,0.03,1E-05,0.01
